NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Ano (Código),Ano,Classes de rendimento total e variação patrimonial mensal familiar (Código),Classes de rendimento total e variação patrimonial mensal familiar,Tipos de despesa (Código),Tipos de despesa
1,Brasil,38,Reais,658.23,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103539,2.1.1 Alimentação
1,Brasil,38,Reais,1377.14,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103540,2.1.2 Habitação
1,Brasil,38,Reais,679.76,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103561,2.1.4 Transporte
1,Brasil,38,Reais,302.06,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103574,2.1.6 Assistência à saude
1,Brasil,38,Reais,175.60,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103585,2.1.7 Educação
1,Brasil,38,Reais,96.16,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103592,2.1.8 Recreação e cultura
1,Brasil,38,Reais,48.55,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103599,2.1.10 Serviços pessoais
1,Brasil,38,Reais,329.84,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103539,2.1.1 Alimentação
1,Brasil,38,Reais,585.91,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103540,2.1.2 Habitação
1,Brasil,38,Reais,142.23,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103561,2.1.4 Transporte
1,Brasil,38,Reais,88.66,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103574,2.1.6 Assistência à saude
1,Brasil,38,Reais,29.02,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103585,2.1.7 Educação
1,Brasil,38,Reais,25.79,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103592,2.1.8 Recreação e cultura
1,Brasil,38,Reais,14.42,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103599,2.1.10 Serviços pessoais
1,Brasil,38,Reais,449.21,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103539,2.1.1 Alimentação
1,Brasil,38,Reais,859.96,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103540,2.1.2 Habitação
1,Brasil,38,Reais,265.93,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103561,2.1.4 Transporte
1,Brasil,38,Reais,164.99,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103574,2.1.6 Assistência à saude
1,Brasil,38,Reais,56.22,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103585,2.1.7 Educação
1,Brasil,38,Reais,40.75,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103592,2.1.8 Recreação e cultura
1,Brasil,38,Reais,24.02,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103599,2.1.10 Serviços pessoais
1,Brasil,38,Reais,634.41,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103539,2.1.1 Alimentação
1,Brasil,38,Reais,1203.17,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103540,2.1.2 Habitação
1,Brasil,38,Reais,527.10,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103561,2.1.4 Transporte
1,Brasil,38,Reais,240.84,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103574,2.1.6 Assistência à saude
1,Brasil,38,Reais,115.75,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103585,2.1.7 Educação
1,Brasil,38,Reais,72.08,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103592,2.1.8 Recreação e cultura
1,Brasil,38,Reais,42.51,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103599,2.1.10 Serviços pessoais
1,Brasil,38,Reais,872.68,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103539,2.1.1 Alimentação
1,Brasil,38,Reais,1792.13,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103540,2.1.2 Habitação
1,Brasil,38,Reais,1074.81,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103561,2.1.4 Transporte
1,Brasil,38,Reais,426.90,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103574,2.1.6 Assistência à saude
1,Brasil,38,Reais,261.01,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103585,2.1.7 Educação
1,Brasil,38,Reais,139.05,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103592,2.1.8 Recreação e cultura
1,Brasil,38,Reais,72.31,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103599,2.1.10 Serviços pessoais
1,Brasil,38,Reais,1143.83,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103539,2.1.1 Alimentação
1,Brasil,38,Reais,2562.49,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103540,2.1.2 Habitação
1,Brasil,38,Reais,1493.48,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103561,2.1.4 Transporte
1,Brasil,38,Reais,670.10,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103574,2.1.6 Assistência à saude
1,Brasil,38,Reais,413.40,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103585,2.1.7 Educação
1,Brasil,38,Reais,206.88,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103592,2.1.8 Recreação e cultura
1,Brasil,38,Reais,103.59,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103599,2.1.10 Serviços pessoais
