NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
1,Brasil,38,Reais,1478.68,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103539,2.1.1 Alimentação
1,Brasil,38,Reais,3761.14,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103540,2.1.2 Habitação
1,Brasil,38,Reais,2396.58,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103561,2.1.4 Transporte
1,Brasil,38,Reais,968.07,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103574,2.1.6 Assistência à saude
1,Brasil,38,Reais,682.69,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103585,2.1.7 Educação
1,Brasil,38,Reais,324.49,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103592,2.1.8 Recreação e cultura
1,Brasil,38,Reais,142.85,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103599,2.1.10 Serviços pessoais
1,Brasil,38,Reais,2105.91,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103539,2.1.1 Alimentação
1,Brasil,38,Reais,6312.01,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103540,2.1.2 Habitação
1,Brasil,38,Reais,4136.09,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103561,2.1.4 Transporte
1,Brasil,38,Reais,1563.41,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103574,2.1.6 Assistência à saude
1,Brasil,38,Reais,1418.41,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103585,2.1.7 Educação
1,Brasil,38,Reais,642.21,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103592,2.1.8 Recreação e cultura
1,Brasil,38,Reais,231.20,1,Brasil,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,386.79,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,915.90,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,553.36,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,169.65,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,85.55,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,78.77,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,34.10,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,203.78,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,526.27,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,150.08,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,81.11,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,26.67,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,24.82,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,14.86,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,290.27,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,707.23,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,269.03,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,110.09,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,51.70,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,53.14,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,20.04,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,456.11,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,1004.01,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,550.03,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,185.67,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,87.04,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,89.86,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,35.20,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,624.25,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,1431.87,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,1372.56,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,340.76,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,180.73,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,138.21,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,73.22,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,939.99,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,2158.64,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,2029.88,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,569.49,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,491.25,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,137.88,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,87.77,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,904.45,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,2204.43,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,2633.47,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,330.80,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,135.80,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,313.91,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,149.49,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47563,Mais de 14.310 a 23.850 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,1063.53,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,4068.72,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,2872.86,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,543.87,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,430.06,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,926.01,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,127.49,11,Rondônia,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47564,Mais de 23.850 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,637.28,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,993.16,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,507.78,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,153.13,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,70.46,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,70.66,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,33.33,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,7999,Total,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,473.75,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,590.89,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,144.59,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,64.73,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,29.16,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,31.94,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,14.89,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47558,Até 1.908 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,592.63,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,730.80,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,221.98,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,130.65,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,40.85,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,46.28,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,22.10,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47559,Mais de 1.908 a 2.862 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,767.97,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,1107.24,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,585.64,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,175.35,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,68.42,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,75.84,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,35.14,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47560,Mais de 2.862 a 5.724 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,822.06,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,1645.56,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,947.37,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,228.79,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,101.87,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,158.03,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103592,2.1.8 Recreação e cultura
3,Unidade da Federação,38,Reais,68.39,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47561,Mais de 5.724 a 9.540 Reais,103599,2.1.10 Serviços pessoais
3,Unidade da Federação,38,Reais,868.57,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103539,2.1.1 Alimentação
3,Unidade da Federação,38,Reais,2063.52,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103540,2.1.2 Habitação
3,Unidade da Federação,38,Reais,2368.86,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103561,2.1.4 Transporte
3,Unidade da Federação,38,Reais,411.08,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103574,2.1.6 Assistência à saude
3,Unidade da Federação,38,Reais,190.81,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103585,2.1.7 Educação
3,Unidade da Federação,38,Reais,217.50,12,Acre,1201,Despesa monetária e não monetária média mensal familiar,2018,2018,47562,Mais de 9.540 a 14.310 Reais,103592,2.1.8 Recreação e cultura
